City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
115,Warri,NG,80.53,overcast clouds,5.5167,5.75,BON Hotel Delta
117,Vila Velha,BR,75.15,mist,-20.3297,-40.2925,Quality Suites Vila Velha
123,Port Keats,AU,84.47,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
124,Marsh Harbour,BS,74.03,broken clouds,26.5412,-77.0636,Abaco Beach Resort
126,San Patricio,US,84.61,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
130,Saint-Joseph,RE,77.36,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
131,Vangaindrano,MG,73.36,scattered clouds,-23.35,47.6,Hotel Fanilo
136,Inhambane,MZ,76.3,few clouds,-23.865,35.3833,Oceano
137,Bitung,ID,76.05,heavy intensity rain,1.4451,125.1824,K2 Lembeh
138,Kanigoro,ID,73.51,light rain,-8.13,112.219,Musafer Villa ( Villa Erlin )
141,Huarmey,PE,72.46,few clouds,-10.0681,-78.1522,Hotel Miramar
142,Sur,OM,73.42,clear sky,22.5667,59.5289,Sur Plaza Hotel
144,Port Moresby,PG,76.42,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
145,Buala,SB,80.06,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
149,Acapulco,MX,85.82,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
151,Loa Janan,ID,74.5,overcast clouds,-0.583,117.095,PONDOK COKLAT HATTA CAB. LOA JANAN ILIR
152,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
157,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
166,Lumberton,US,80.1,clear sky,34.6182,-79.0086,"Country Inn & Suites by Radisson, Lumberton, NC"
168,Niquelandia,BR,79.56,moderate rain,-14.4739,-48.4597,Hotel Suinã
171,The Valley,AI,84.06,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
173,Honiara,SB,79.25,overcast clouds,-9.4333,159.95,Heritage Park Hotel
177,Sola,VU,81.73,broken clouds,-13.8833,167.55,Leumerus Bungalows
178,Tefe,BR,86.11,scattered clouds,-3.3542,-64.7114,Aracati Hotel
179,Padang,ID,78.3,light rain,-0.9492,100.3543,Mercure Padang
180,Faanui,PF,81.5,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
187,Biloxi,US,77.72,clear sky,30.396,-88.8853,IP Casino Resort Spa
194,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
196,Castro,BR,70.75,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
