City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,Nazarovo,56.0064,90.3914,21.58,86,100,6.35,RU,2021-12-02 00:54:41
124,Gizo,-8.103,156.8419,85.95,66,100,3.13,SB,2021-12-02 00:54:41
125,Evensk,61.95,159.2333,4.84,69,100,25.12,RU,2021-12-02 00:54:42
126,Bengkulu,-3.8004,102.2655,77.86,77,35,3.62,ID,2021-12-02 00:54:43
127,La Asuncion,11.0333,-63.8628,80.33,94,100,11.5,VE,2021-12-02 00:54:44
128,Vila,42.0304,-8.1588,41.32,91,100,7.29,PT,2021-12-02 00:54:44
129,Salinopolis,-0.6136,-47.3561,81.14,79,97,11.86,BR,2021-12-02 00:54:45
130,Ambilobe,-13.2,49.05,73.15,76,35,2.64,MG,2021-12-02 00:53:00
131,Lorengau,-2.0226,147.2712,86.25,67,68,3.33,PG,2021-12-02 00:54:46
132,Kahului,20.8947,-156.47,85.26,84,83,8.01,US,2021-12-02 00:54:47
133,Madang,-5.2246,145.7966,88.48,60,88,2.13,PG,2021-12-02 00:54:48
134,Quatre Cocos,-20.2078,57.7625,77.11,76,28,12.88,MU,2021-12-02 00:54:48
135,Pacific Grove,36.6177,-121.9166,72.0,46,0,2.82,US,2021-12-02 00:54:49
136,Bantry,51.6833,-9.45,40.48,72,71,12.88,IE,2021-12-02 00:54:50
137,Hermanus,-34.4187,19.2345,59.9,75,100,10.98,ZA,2021-12-02 00:54:10
138,Ulladulla,-35.35,150.4667,79.7,63,10,9.35,AU,2021-12-02 00:54:51
139,Arlit,18.7369,7.3853,66.31,21,0,3.47,NE,2021-12-02 00:54:52
140,Bambous Virieux,-20.3428,57.7575,77.25,78,40,3.44,MU,2021-12-02 00:53:01
141,Kavieng,-2.5744,150.7967,85.41,65,68,7.61,PG,2021-12-02 00:54:53
142,Kumano,34.3442,132.5894,42.89,56,4,3.06,JP,2021-12-02 00:54:54
143,Kamyaran,34.7956,46.9355,53.55,84,76,6.42,IR,2021-12-02 00:54:55
144,Saskylakh,71.9167,114.0833,-33.81,100,99,1.05,RU,2021-12-02 00:54:56
145,Kaitangata,-46.2817,169.8464,65.93,76,100,9.35,NZ,2021-12-02 00:54:56
146,Bambanglipuro,-7.95,110.2833,81.1,78,100,4.76,ID,2021-12-02 00:54:57
147,Bethel,41.3712,-73.414,40.82,73,100,1.05,US,2021-12-02 00:54:58
148,Airai,-8.9266,125.4092,74.21,54,100,2.26,TL,2021-12-02 00:54:58
149,Strelka,58.0728,93.0344,24.35,95,100,8.46,RU,2021-12-02 00:54:59
150,Wajid,3.8093,43.2471,73.09,78,16,12.44,SO,2021-12-02 00:55:00
151,Byron Bay,-28.65,153.6167,79.88,73,82,13.67,AU,2021-12-02 00:54:50
152,Jardim,-21.4803,-56.1381,81.41,53,97,2.51,BR,2021-12-02 00:55:01
153,Codrington,-38.2667,141.9667,66.58,72,100,11.25,AU,2021-12-02 00:55:02
154,Auki,-8.7676,160.7034,83.73,74,100,3.65,SB,2021-12-02 00:55:03
155,Wainwright,52.839,-110.8572,37.31,81,100,12.24,CA,2021-12-02 00:55:03
156,Sitka,57.0531,-135.33,34.72,68,100,14.65,US,2021-12-02 00:55:04
157,New Norfolk,-42.7826,147.0587,88.66,24,84,6.62,AU,2021-12-02 00:52:53
158,Diglur,18.55,77.6,65.91,71,87,3.94,IN,2021-12-02 00:55:05
159,Karratha,-20.7377,116.8463,94.17,23,3,12.26,AU,2021-12-02 00:55:06
160,Sao Joao Da Barra,-21.6403,-41.0511,72.43,95,2,8.01,BR,2021-12-02 00:55:07
161,Turbat,26.0023,63.044,68.61,35,0,4.85,PK,2021-12-02 00:55:07
162,Ponta Do Sol,32.6667,-17.1,65.71,72,19,5.86,PT,2021-12-02 00:55:08
163,Richards Bay,-28.783,32.0377,73.31,84,4,14.74,ZA,2021-12-02 00:55:09
164,Margate,51.3813,1.3862,38.7,75,48,8.01,GB,2021-12-02 00:55:10
