City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
102,Jamestown,US,2021-12-03 20:24:28,42.097,-79.2353,37.02,79,90,3.0,overcast clouds
103,Uglovskoye,RU,2021-12-03 20:27:03,51.3557,80.1942,27.57,90,59,7.94,broken clouds
104,Perehonivka,UA,2021-12-03 20:27:03,48.5355,30.5192,36.34,82,100,9.51,overcast clouds
105,Liwale,TZ,2021-12-03 20:27:03,-9.7667,37.9333,70.2,77,1,3.87,clear sky
106,Oulu,FI,2021-12-03 20:27:04,65.0124,25.4682,15.91,89,0,1.01,clear sky
107,Krasnoye,UA,2021-12-03 20:27:04,49.9145,24.6134,24.19,83,9,9.51,clear sky
108,Port Alfred,ZA,2021-12-03 20:27:04,-33.5906,26.891,64.44,75,100,9.04,overcast clouds
109,Kavaratti,IN,2021-12-03 20:27:05,10.5669,72.642,81.27,74,1,1.39,clear sky
110,Bonthe,SL,2021-12-03 20:27:05,7.5264,-12.505,80.82,79,99,8.84,overcast clouds
111,Cap Malheureux,MU,2021-12-03 20:27:06,-19.9842,57.6142,78.48,75,5,5.99,clear sky
112,Kruisfontein,ZA,2021-12-03 20:27:06,-34.0033,24.7314,57.88,83,100,4.88,overcast clouds
113,Arraial Do Cabo,BR,2021-12-03 20:27:07,-22.9661,-42.0278,75.16,73,75,9.22,broken clouds
114,Pokrovskoye,RU,2021-12-03 20:27:07,47.4157,38.8971,45.81,77,99,15.26,overcast clouds
115,Warri,NG,2021-12-03 20:27:07,5.5167,5.75,80.53,80,100,5.19,overcast clouds
116,Gumdag,TM,2021-12-03 20:27:08,39.2061,54.5906,43.81,80,31,15.03,scattered clouds
117,Vila Velha,BR,2021-12-03 20:27:08,-20.3297,-40.2925,75.15,95,90,5.01,mist
118,Sitka,US,2021-12-03 20:27:08,57.0531,-135.33,30.09,69,40,6.91,light snow
119,Marystown,CA,2021-12-03 20:27:09,47.1666,-55.1483,50.86,100,100,13.0,overcast clouds
120,Williamsport,US,2021-12-03 20:27:09,41.2412,-77.0011,45.52,66,75,1.01,broken clouds
121,Chapais,CA,2021-12-03 20:27:09,49.7834,-74.8492,6.58,90,100,9.93,overcast clouds
122,Orje,NO,2021-12-03 20:27:10,59.4802,11.6602,19.36,79,100,9.1,overcast clouds
123,Port Keats,AU,2021-12-03 20:27:10,-14.25,129.55,84.47,79,100,8.01,overcast clouds
124,Marsh Harbour,BS,2021-12-03 20:26:05,26.5412,-77.0636,74.03,62,67,9.08,broken clouds
125,Ouallam,NE,2021-12-03 20:27:11,14.3188,2.0866,82.11,13,85,10.78,overcast clouds
126,San Patricio,US,2021-12-03 20:27:11,28.017,-97.5169,84.61,54,3,10.74,clear sky
127,Carnarvon,AU,2021-12-03 20:27:11,-24.8667,113.6333,69.87,88,90,16.11,overcast clouds
